species_code,species_name,vegetation_type
Aa,Arctostaphylos alpinus,Shrub
Bn,Betula nana,Shrub
Ct,Cassiope tetragona,Shrub
Ch,Cassiope hypnoides,Shrub
En,Empetrum nigrum ssp. hermaphroditum,Shrub
Sh,Salix herbacea,Shrub
Spol,Salix polaris,Shrub
Vv,Vaccinium vitis-idaea,Shrub
Vu,Vaccinium uliginosum,Shrub
G1,Festuca rubra,Graminoid
S1,Carex bigelowii,Graminoid
Jt,Juncus trifidus,Graminoid
La,Luzula arcuata,Graminoid
Bv,Bistorta vivipara,Herb
Dl,Diapensia lapponica,Herb
Hcel,Huperzia selago,Herb
Phca,Phyllodoce caerulea,Herb
Pl,Pedicularis lapponica,Herb
Rc,Rubus chamaemorus,Herb
An,Alectoria nigricans,Lichen
Ao,Alectoria ochroleuca,Lichen
Bsp,Bryoria sp.,Lichen
Ca,Cladina arbuscula,Lichen
Cb,Cladonia borealis,Lichen
Cc,Cetraria cucullata,Lichen
Cd,Cetraria delisei,Lichen
Ce,Cetraria ericetorum,Lichen
Cet.sp,Cetraria sp,Lichen
Cg,Cladonia gracilis,Lichen
Ci,Cetraria islandica,Lichen
Cn,Cetraria nivalis,Lichen
Cp,Cladonia pyxidata,Lichen
Cr,Cladonia rangiferina,Lichen
Csp,Cladonia sp.,Lichen
Cu,Cladonia unicialis,Lichen
Cv,Cladonia verticillata,Lichen
Dc,Diploschistes scruposus,Lichen
Lsp,Lobaria sp.,Lichen
Na,Nephroma arcticum,Lichen
Nsp,Nephroma sp.,Lichen
Of,Ochrolechia frigida,Lichen
Pp,Protopannaria pezizoides,Lichen
Psp,Peltigera sp.,Lichen
Sc,Solorina crocea,Lichen
Sg,Sphaerophorus globosus,Lichen
Ssp,Stereocaulon sp.,Lichen
Tv,Thamnolia vermicularis,Lichen
UL1,Unknown lichen (Black crust),Lichen
At,Aulacomnium turgidum,Bryophyte
Dsp,Dicranum sp,Bryophyte
Hs,Hylocomium splendens,Bryophyte
Pa,Polytrichum sp.,Bryophyte
Pc,Ptilidium ciliare,Bryophyte
Rl,Racomitrium lanuginosum,Bryophyte
Su,Sanionia uncinata,Bryophyte
UM2,Pleurozium schreberi,Bryophyte
UM5,Tetralophozia setiformis,Bryophyte
UM6,Barbiolophozia floerkei,Bryophyte
UM7,Gymnomitrion coralloides,Bryophyte
